Network; click for storage info,#pos ss,mixed volume,overcount,,polynomials,output from networkmaker.py,notes,network
2 2 3 0 0 2 0 2 3 1 1 2,0,0,0,"N = reactionNetwork({""B-->A+A"" , ""B-->A""}, NullSymbol => ""0"")","3*b , -2*b","B-->A+A , B-->A",,
2 2 0 3 0 3 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""0-->B+B"" , ""A-->A+B""}, NullSymbol => ""0"")","a + 2 , 0 , a - 1","0-->B+B , A-->A+B",,
2 2 2 0 2 0 0 3 0 3 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+A-->B+B"" , ""A-->A+B""}, NullSymbol => ""0"")","2*a^2 + a , -2*a^2","A+A-->B+B , A-->A+B",,
2 2 0 2 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""0-->A"" , ""A-->A+B""}, NullSymbol => ""0"")","a , 1","0-->A , A-->A+B",,
2 2 2 0 2 0 0 2 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+A-->A"" , ""A-->A+B""}, NullSymbol => ""0"")","a , -a^2","A+A-->A , A-->A+B",,
2 2 3 0 3 0 0 2 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""B+B-->A"" , ""A-->A+B""}, NullSymbol => ""0"")","b^2 , -2*b^2 + a","B+B-->A , A-->A+B",,
2 2 0 3 0 3 2 1 3 1,0,0,0,"N = reactionNetwork({""0-->B+B"" , ""A+B-->0""}, NullSymbol => ""0"")","-a*b , -a*b + 2","0-->B+B , A+B-->0",,
2 2 2 0 2 0 0 3 0 3 2 1 3 1,0,0,0,"N = reactionNetwork({""A+A-->B+B"" , ""A+B-->0""}, NullSymbol => ""0"")","2*a^2 - a*b , -2*a^2 - a*b","A+A-->B+B , A+B-->0",,
2 2 0 3 0 3 2 1 3 1 1 2,1,1,0,"N = reactionNetwork({""0-->B+B"" , ""A+B-->A""}, NullSymbol => ""0"")","0, -a*b + 2 , a - 1","0-->B+B , A+B-->A",,
2 2 2 0 2 0 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+A-->0"" , ""A+B-->A""}, NullSymbol => ""0"")","-a*b , -2*a^2","A+A-->0 , A+B-->A",,
2 2 2 0 2 0 0 3 0 3 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+A-->B+B"" , ""A+B-->A""}, NullSymbol => ""0"")","2*a^2 - a*b , -2*a^2","A+A-->B+B , A+B-->A",,
2 2 3 0 3 0 2 1 3 1 1 2,1,1,0,"N = reactionNetwork({""B+B-->0"" , ""A+B-->A""}, NullSymbol => ""0"")","0 , -2*b^2 - a*b , a - 1","B+B-->0 , A+B-->A",,
2 2 3 0 0 3 0 3 2 1,0,0,0,"N = reactionNetwork({""B-->B+B"" , ""A-->0""}, NullSymbol => ""0"")","-a , b","B-->B+B , A-->0",,
2 2 3 0 0 3 0 3 2 1 1 2 1 3,0,1,1,"N = reactionNetwork({""B-->B+B"" , ""A-->A+B""}, NullSymbol => ""0"")","0 , a + b, a - 1","B-->B+B , A-->A+B",,
2 2 3 0 0 2 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""B-->A"" , ""A-->A+B""}, NullSymbol => ""0"")","b , a - b","B-->A , A-->A+B",,
2 2 3 0 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""B-->0"" , ""A+B-->A""}, NullSymbol => ""0"")","0 , -b - a*b , a - 1","B-->0 , A+B-->A",,
2 2 3 0 0 3 0 3 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""B-->B+B"" , ""A+B-->A""}, NullSymbol => ""0"")","0 , -a*b + b , a - 1","B-->B+B , A+B-->A",,
2 2 3 0 3 0 2 1 1 2 1 3,1,2,1,"N = reactionNetwork({""B+B-->0"" , ""A-->A+B""}, NullSymbol => ""0"")","0 , -b^2 + a , a - 1","B+B-->0 , A-->A+B",,
2 2 2 0 2 0 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+A-->0"" , ""A-->A+B""}, NullSymbol => ""0"")","a , -2*a^2","A+A-->0 , A-->A+B",,
2 2 0 2 0 2 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""0-->A+A"" , ""A+B-->A""}, NullSymbol => ""0"")","-a*b , 2","0-->A+A , A+B-->A",,
2 2 3 0 3 0 0 2 0 2 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""B+B-->A+A"" , ""A+B-->A""}, NullSymbol => ""0"")","2*b^2 , -2*b^2 - a*b","B+B-->A+A , A+B-->A",,
2 2 3 0 0 2 0 2 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""B-->A+A"" , ""A+B-->A""}, NullSymbol => ""0"")","2*b , -a*b - b","B-->A+A , A+B-->A",,
2 2 2 0 0 3 0 3 1 2,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""0-->A""}, NullSymbol => ""0"")","2*a , -a + 1","A-->B+B , 0-->A",,
2 2 2 0 0 3 0 3 2 1 2 1 1 2,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""A+A-->A""}, NullSymbol => ""0"")","2*a , -a^2 - a","A-->B+B , A+A-->A",,
2 2 2 0 3 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->0"" , ""B+B-->A""}, NullSymbol => ""0"")","-2*b^2 , b^2 - a","A-->0 , B+B-->A",,
2 2 2 0 0 3 0 3 3 1 3 1 1 2,1,2,1,"N = reactionNetwork({""A-->B+B"" , ""B+B-->A""}, NullSymbol => ""0"")","-2*b^2 + 2*a , b^2 - a , 2*a + b - 3","A-->B+B , B+B-->A",,
2 2 2 0 0 3 0 3 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""0-->A+B""}, NullSymbol => ""0"")","-a + 1 , 2*a + 1","A-->B+B , 0-->A+B",,
2 2 2 0 0 3 0 3 2 1 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""A+A-->A+B""}, NullSymbol => ""0"")","a^2 + 2*a , -a^2 - a","A-->B+B , A+A-->A+B",,
2 2 2 0 0 3 0 3 3 1 3 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""B+B-->A+B""}, NullSymbol => ""0"")","-b^2 + 2*a , b^2 - a","A-->B+B , B+B-->A+B",,
2 2 2 0 0 3 0 3 3 1,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""B-->0""}, NullSymbol => ""0"")","2*a - b , -a","A-->B+B , B-->0",,
2 2 2 0 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->0"" , ""B-->A""}, NullSymbol => ""0"")","-b , -a + b","A-->0 , B-->A",,
2 2 2 0 0 3 0 3 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""B-->A""}, NullSymbol => ""0"")","-a + b , 2*a - b","A-->B+B , B-->A",,
2 2 2 0 0 3 0 3 3 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""B-->A+B""}, NullSymbol => ""0"")","2*a , -a + b","A-->B+B , B-->A+B",,
2 2 2 0 3 0 2 1 2 1,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""A+A-->0""}, NullSymbol => ""0"")","-a*b , -2*a^2 - a*b","A+B-->0 , A+A-->0",,
2 2 2 0 3 0 0 3 0 3 2 1 2 1,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""A+A-->0""}, NullSymbol => ""0"")","a*b , -2*a^2 - a*b","A+B-->B+B , A+A-->0",,
2 2 2 0 3 0 0 2 0 2 2 1 2 1 1 3 1 3,1,1,0,"N = reactionNetwork({""A+B-->A+A"" , ""A+A-->B+B""}, NullSymbol => ""0"")","2*a^2 - a*b , -2*a^2 + a*b , a + b - 2","A+B-->A+A , A+A-->B+B",,
2 2 2 0 3 0 0 3 0 3 2 1 2 1 1 3 1 3,0,1,1,"N = reactionNetwork({""A+B-->B+B"" , ""A+A-->B+B""}, NullSymbol => ""0"")","2*a^2 + a*b , -2*a^2 - a*b , a + b - 2","A+B-->B+B , A+A-->B+B",,
2 2 2 0 3 0 0 3 0 3 3 1 3 1,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""B+B-->0""}, NullSymbol => ""0"")","a*b - 2*b^2 , -a*b","A+B-->B+B , B+B-->0",,
2 2 2 0 3 0 1 2,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""0-->A""}, NullSymbol => ""0"")","-a*b , -a*b + 1","A+B-->0 , 0-->A",,
2 2 2 0 3 0 0 3 0 3 1 2,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""0-->A""}, NullSymbol => ""0"")","a*b , -a*b + 1","A+B-->B+B , 0-->A",,
2 2 2 0 3 0 2 1 2 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""A+A-->A""}, NullSymbol => ""0"")","-a*b , -a^2 - a*b","A+B-->0 , A+A-->A",,
