Network; click for storage info,#pos ss,mixed volume,overcount,,polynomials,output from networkmaker.py,notes,network
2 2 2 0 0 3 0 3 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""A-->A+B""}, NullSymbol => ""0"")","3*a , -a","A-->B+B , A-->A+B",,
2 2 2 0 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->0"" , ""A+B-->A""}, NullSymbol => ""0"")","-a*b , -a","A-->0 , A+B-->A",,
2 2 2 0 0 3 0 3 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""A+B-->A""}, NullSymbol => ""0"")","-a*b + 2*a , -a","A-->B+B , A+B-->A",,
2 2 2 0 3 0 0 3 0 3 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""A-->A+B""}, NullSymbol => ""0"")","a*b + a , -a*b","A+B-->B+B , A-->A+B",,
2 2 2 0 3 0 0 2 2 1 1 2 1 3,1,1,0,"N = reactionNetwork({""A+B-->A"" , ""A-->A+B""}, NullSymbol => ""0"")","-a*b + a , 0 , a - 1","A+B-->A , A-->A+B",,
2 2 2 0 3 0 0 3 0 3 2 1 3 1,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""A+B-->0""}, NullSymbol => ""0"")","0 , -2*a*b","A+B-->B+B , A+B-->0",,
2 2 2 0 3 0 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""A+B-->A""}, NullSymbol => ""0"")","-2*a*b , -a*b","A+B-->0 , A+B-->A",,
2 2 2 0 3 0 0 3 0 3 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""A+B-->A""}, NullSymbol => ""0"")","0 , -a*b","A+B-->B+B , A+B-->A",,
2 2 2 0 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->0"" , ""A-->A+B""}, NullSymbol => ""0"")","a , -a","A-->0 , A-->A+B",,
2 2 2 0 0 2 0 2 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->A+A"" , ""A+B-->A""}, NullSymbol => ""0"")","-a*b , a","A-->A+A , A+B-->A",,
2 2 2 0 3 0 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""A-->A+B""}, NullSymbol => ""0"")","-a*b + a , -a*b","A+B-->0 , A-->A+B",,
2 2 2 0 3 0 0 2 0 2 2 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""A+B-->A""}, NullSymbol => ""0"")","-2*a*b , a*b","A+B-->A+A , A+B-->A",,
2 2 2 0 3 0 0 2 0 2 2 1 3 1 1 3 1 3,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""A+B-->B+B""}, NullSymbol => ""0"")","0 , 0 , a + b - 2","A+B-->A+A , A+B-->B+B",MV=#pos SS=0 right?,
2 2 2 0 3 0 0 2 2 1 3 1 1 3,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""A+B-->B""}, NullSymbol => ""0"")","-a*b , -a*b","A+B-->A , A+B-->B",,
,,,,,,,,
,,,,,,,,
,,overcount 1,16,number of networks with overcount 1,,,,
,,overcount 0,194,number of networks with overcount 0,,,,
,,,,,,,,
,,mv 2,9,number of networks with mixed volume 2,,,,
,,mv 1,16,number of networks with mixed volume 1,,,,
